id,name,brand
6414,A6 3.0 TFSI V6 Quattro S tronic 4p,Audi
123,A6 3.0 V6 30V 218cv Multitronic 4p,Audi
4526,A6 3.2 FSI 24V 255cv Multitronic,Audi
124,A6 4.2 Avant Quattro Tiptronic,Audi
125,A6 4.2 Quattro Tiptronic,Audi
6462,A6 Allroad 3.0 TFSI V6 Quattro S tronic,Audi
8814,A6 Performance 3.0 TFSI Quattro S.tronic,Audi
7447,A7 Sportback 2.0 TFSI S Tronic,Audi
5549,A7 Sportback 3.0 TFSI Quattro S Tronic,Audi
8815,A7 Sportback Perf. 3.0 TFSI S-tron Quat.,Audi
7127,A8 3.0 TFSI 310cv Quattro Tiptronic 4p,Audi
6631,A8 4.0 TFSI Quattro Tiptronic,Audi
126,A8 4.2 Quattro Tiptronic,Audi
127,A8 4.2 V8 32V Tiptronic,Audi
3928,A8 6.0 W12 48V 450cv Quattro Tiptronic,Audi
5717,A8 6.3 W12 48V Quattro Tiptronic,Audi
128,Allroad 2.7 30V Quattro Turbo Tiptronic,Audi
129,Avant RS2,Audi
9077,E-TRON Performa. Black Aut. (Elétrico),Audi
9078,E-TRON Performace Aut. (Elétrico),Audi
9186,E-TRON Sportb. Perf.Black Aut.(Elétrico),Audi
9187,E-TRON Sportback Perf. Aut. (Elétrico),Audi
7255,Q3 1.4 TFSI/TFSI Flex S-tronic 5p,Audi
6044,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,Audi
6045,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,Audi
8230,Q3 Black Ed. 1.4 TFSI Flex/Black S-tron.,Audi
8569,Q3 P. Plus 1.4 TFSI Flex/P.Plus S-tronic,Audi
8568,Q3 Prest. 1.4 TFSI Flex/Prest. S-tronic,Audi
6573,Q5 2.0 16V TFSI 225cv Quattro Tiptronic,Audi
4936,Q5 2.0 16V TFSI Quattro S Tronic,Audi
8231,Q5 2.0 TFSI Quattro S tronic (Blindado),Audi
6486,Q5 3.0 V6 TFSI 272cv Quattro Tiptronic,Audi
4959,Q5 3.2 FSI V6 Quattro S Tronic,Audi
8036,Q5 Ambiente 2.0 TFSI Quattro S tronic,Audi
8037,Q5 Ambition 2.0 TFSI Quattro S tronic,Audi
